league,gender,governing_body,first_season,last_season,tier,awards,url,country
FIFA Club World Cup,M,FIFA,2019,2025,1st,,https://fbref.com/en/comps/719/history/FIFA-Club-World-Cup-Seasons,International
CONCACAF Champions Cup,M,CONCACAF,2020,2025,1st,,https://fbref.com/en/comps/133/history/CONCACAF-Champions-Cup-Seasons,International
Leagues Cup,M,CONCACAF,2023,2025,,,https://fbref.com/en/comps/939/history/Leagues-Cup-Seasons,International
Copa Libertadores de América,M,CONMEBOL,2014,2025,1st,,https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons,International
Copa CONMEBOL Sudamericana,M,CONMEBOL,2014,2025,2nd,,https://fbref.com/en/comps/205/history/Copa-Sudamericana-Seasons,International
UEFA Champions League,M,UEFA,1990-1991,2025-2026,1st,,https://fbref.com/en/comps/8/history/Champions-League-Seasons,International
UEFA Europa League,M,UEFA,1990-1991,2025-2026,2nd,,https://fbref.com/en/comps/19/history/Europa-League-Seasons,International
UEFA Conference League,M,UEFA,2021-2022,2025-2026,3rd,,https://fbref.com/en/comps/882/history/Conference-League-Seasons,International
UEFA Super Cup,M,UEFA,2000,2025,,,https://fbref.com/en/comps/122/history/UEFA-Super-Cup-Seasons,International
UEFA Women's Champions League,F,UEFA,2014-2015,2025-2026,1st,,https://fbref.com/en/comps/181/history/Champions-League-Seasons,International
FIFA World Cup,M,FIFA,1930,2026,1st,"FIFA World Cup All-Star Team, FIFA World Cup Bronze Ball, FIFA World Cup Golden Ball, FIFA World Cup Golden Boot, ...",https://fbref.com/en/comps/1/history/World-Cup-Seasons,International
FIFA Confederations Cup,M,FIFA,2001,2017,,,https://fbref.com/en/comps/666/history/FIFA-Confederations-Cup-Seasons,International
International Friendlies,M,FIFA,2014,2025,,,https://fbref.com/en/comps/218/history/Friendlies-M-Seasons,International
FIFA Women's World Cup,F,FIFA,1991,2023,1st,"FIFA Women's World Cup All-Star Team, FIFA Women's World Cup Bronze Ball, FIFA Women's World Cup Golden Ball, FIFA Women's World Cup Golden Boot, ...",https://fbref.com/en/comps/106/history/Womens-World-Cup-Seasons,International
Olympics — Women's Tournament,F,FIFA,1996,2024,1st,,https://fbref.com/en/comps/180/history/Olympics-W-Seasons,International
Algarve Cup,F,FIFA,2019,2022,,,https://fbref.com/en/comps/214/history/Algarve-Cup-Seasons,International
International Friendlies,F,FIFA,2019,2025,,,https://fbref.com/en/comps/217/history/Friendlies-W-Seasons,International
SheBelieves Cup,F,FIFA,2016,2024,,,https://fbref.com/en/comps/212/history/SheBelieves-Cup-Seasons,International
Africa Cup of Nations,M,CAF,2010,2024,1st,,https://fbref.com/en/comps/656/history/Africa-Cup-of-Nations-Seasons,
Africa Women Cup of Nations,F,CAF,2016,2025,1st,,https://fbref.com/en/comps/156/history/Africa-Women-Cup-of-Nations-Seasons,
CONCACAF Gold Cup,M,CONCACAF,2015,2025,1st,,https://fbref.com/en/comps/681/history/Gold-Cup-Seasons,International
CONCACAF W Championship,F,CONCACAF,2014,2022,,,https://fbref.com/en/comps/157/history/CONCACAF-W-Championship-Seasons,International
CONMEBOL Copa América,M,CONMEBOL,2015,2024,,,https://fbref.com/en/comps/685/history/Copa-America-Seasons,International
Copa América Femenina,F,CONMEBOL,2018,2025,1st,,https://fbref.com/en/comps/158/history/Copa-America-Femenina-Seasons,International
OFC Nations Cup,M,OFC,2007-2008,2024,1st,,https://fbref.com/en/comps/257/history/OFC-Nations-Cup-Seasons,International
OFC Women's Nations Cup,F,OFC,2018,2025,1st,,https://fbref.com/en/comps/159/history/OFC-Womens-Nations-Cup-Seasons,International
UEFA European Football Championship,M,UEFA,2000,2024,1st,,https://fbref.com/en/comps/676/history/UEFA-Euro-Seasons,International
UEFA Nations League,M,UEFA,2018-2019,2024-2025,,,https://fbref.com/en/comps/677/history/UEFA-Nations-League-Seasons,International
UEFA Women's Championship,F,UEFA,2001,2025,1st,,https://fbref.com/en/comps/162/history/UEFA-Womens-Euro-Seasons,International
AFC Asian Cup,M,AFC,2000,2024,1st,,https://fbref.com/en/comps/664/history/AFC-Asian-Cup-Seasons,International
AFC Women's Asian Cup,F,AFC,2014,2022,1st,,https://fbref.com/en/comps/161/history/AFC-Womens-Asian-Cup-Seasons,International
Premier League,M,,1888-1889,2025-2026,1st,"Premier League Golden Boot, Premier League Golden Glove, Premier League Player of the Season, Premier League Young Player of the Season",https://fbref.com/en/comps/9/history/Premier-League-Seasons,England
La Liga,M,,1988-1989,2025-2026,1st,"La Liga Best Player, Trofeo Alfredo Di Stéfano",https://fbref.com/en/comps/12/history/La-Liga-Seasons,Spain
Ligue 1,M,,1995-1996,2025-2026,1st,Ligue 1 Male Player of the Year,https://fbref.com/en/comps/13/history/Ligue-1-Seasons,France
Fußball-Bundesliga,M,,1988-1989,2025-2026,1st,,https://fbref.com/en/comps/20/history/Bundesliga-Seasons,Germany
Serie A,M,,1988-1989,2025-2026,1st,"Serie A Footballer of the Year, Serie A Italian Footballer of the Year",https://fbref.com/en/comps/11/history/Serie-A-Seasons,Italy
Big 5 European Leagues Combined,M,,1995-1996,2025-2026,1st,,https://fbref.com/en/comps/Big5/history/Big-5-European-Leagues-Seasons,
Liga Profesional de Fútbol Argentina,M,,2014,2025,,,https://fbref.com/en/comps/21/history/Liga-Profesional-Argentina-Seasons,Argentina
A-League Men,M,,2005-2006,2025-2026,,"A-League Golden Boot, A-League Joe Marston Medal, A-League Johnny Warren Medal",https://fbref.com/en/comps/65/history/A-League-Men-Seasons,Australia
A-League Women,F,,2018-2019,2025-2026,,"A-League Women Julie Dolan Award, A-League Women Golden Boot",https://fbref.com/en/comps/196/history/A-League-Women-Seasons,Australia
Austrian Football Bundesliga,M,,2003-2004,2025-2026,,,https://fbref.com/en/comps/56/history/Austrian-Bundesliga-Seasons,Austria
ÖFB Frauen-Bundesliga,F,,2020-2021,2025-2026,,,https://fbref.com/en/comps/286/history/OFB-Frauen-Bundesliga-Seasons,Austria
Belgian Pro League,M,,2003-2004,2025-2026,,,https://fbref.com/en/comps/37/history/Belgian-Pro-League-Seasons,Belgium
Belgian Women's Super League,F,,2020-2021,2025-2026,,,https://fbref.com/en/comps/296/history/Belgian-Womens-Super-League-Seasons,Belgium
División de Fútbol Profesional,M,,2014-2015,2025,,,https://fbref.com/en/comps/74/history/Bolivian-Primera-Division-Seasons,Bolivia
Campeonato Brasileiro Série A,M,,2014,2025,,,https://fbref.com/en/comps/24/history/Serie-A-Seasons,Brazil
Brasileirão Feminino Série A1,F,,2019,2025,,,https://fbref.com/en/comps/206/history/Serie-A1-Seasons,Brazil
First Professional Football League,M,,2009-2010,2025-2026,,,https://fbref.com/en/comps/67/history/Bulgarian-First-League-Seasons,
Canadian Premier League,M,,2019,2025,,,https://fbref.com/en/comps/211/history/Canadian-Premier-League-Seasons,Canada
Chilean Primera División,M,,2014-2015,2025,,,https://fbref.com/en/comps/35/history/Chilean-Primera-Division-Seasons,Chile
Chinese Football Association Super League,M,,2014,2025,,,https://fbref.com/en/comps/62/history/Chinese-Super-League-Seasons,China
Categoría Primera A,M,,2014,2025,,,https://fbref.com/en/comps/41/history/Primera-A-Seasons,Colombia
Croatian Football League,M,,2007-2008,2025-2026,,,https://fbref.com/en/comps/63/history/Hrvatska-NL-Seasons,Croatia
Czech First League,M,,2009-2010,2025-2026,,,https://fbref.com/en/comps/66/history/Czech-First-League-Seasons,Czech Republic
Danish Superliga,M,,2003-2004,2025-2026,,,https://fbref.com/en/comps/50/history/Danish-Superliga-Seasons,Denmark
A-Liga,F,,2019-2020,2025-2026,,,https://fbref.com/en/comps/340/history/A-Liga-Seasons,Slovenia
Liga Profesional Ecuador,M,,2014,2025,,,https://fbref.com/en/comps/58/history/Serie-A-Seasons,Ecuador
Premier League,M,,1888-1889,2025-2026,,"Premier League Golden Boot, Premier League Golden Glove, Premier League Player of the Season, Premier League Young Player of the Season",https://fbref.com/en/comps/9/history/Premier-League-Seasons,England
FA Women's Super League,F,,2017,2025-2026,,,https://fbref.com/en/comps/189/history/Womens-Super-League-Seasons,England
La Liga,M,,1988-1989,2025-2026,,"La Liga Best Player, Trofeo Alfredo Di Stéfano",https://fbref.com/en/comps/12/history/La-Liga-Seasons,Spain
Liga F,F,,2022-2023,2025-2026,,,https://fbref.com/en/comps/230/history/Liga-F-Seasons,Spain
Veikkausliiga,M,,2003,2025,,,https://fbref.com/en/comps/43/history/Veikkausliiga-Seasons,Finland
Ligue 1,M,,1995-1996,2025-2026,,Ligue 1 Male Player of the Year,https://fbref.com/en/comps/13/history/Ligue-1-Seasons,France
Première Ligue,F,,2017-2018,2025-2026,,Ligue 1 Female Player of the Year,https://fbref.com/en/comps/193/history/Premiere-Ligue-Seasons,France
Fußball-Bundesliga,M,,1988-1989,2025-2026,,,https://fbref.com/en/comps/20/history/Bundesliga-Seasons,Germany
Frauen-Bundesliga,F,,2016-2017,2025-2026,,,https://fbref.com/en/comps/183/history/Frauen-Bundesliga-Seasons,Germany
Super League Greece,M,,2000-2001,2025-2026,,Best Greek Player (Superleague),https://fbref.com/en/comps/27/history/Super-League-Greece-Seasons,Greece
